employee_id,performance_score,experience_years,training_days,team_size,commute_mins
E001,100.0,13.4,25,16,21.3
E002,93.9,9.8,24,19,23.2
E003,100.0,16.5,27,6,86.0
E004,30.8,0.6,1,23,5.1
E005,100.0,16.2,28,18,87.0
E006,95.8,11.3,25,21,37.3
E007,73.4,6.0,21,12,62.1
E008,42.8,0.9,0,19,40.2
E009,100.0,19.8,29,5,86.2
E010,30.0,0.1,4,7,79.0
E011,80.1,15.4,5,20,73.2
E012,87.3,14.9,8,22,80.9
E013,92.3,7.5,10,18,21.0
E014,97.8,9.9,21,17,53.8
E015,87.4,18.6,8,23,42.8
E016,68.4,7.9,26,22,68.5
E017,100.0,19.5,3,11,26.7
E018,92.2,10.5,17,11,52.3
E019,67.8,1.9,23,20,36.5
E020,100.0,16.3,14,12,32.2
E021,43.6,4.2,1,20,6.2
E022,97.1,11.1,21,7,36.1
E023,79.0,5.8,22,12,41.2
E024,100.0,16.3,20,14,60.9
E025,100.0,16.6,29,17,88.9
E026,52.7,4.4,0,4,28.9
E027,78.2,12.9,13,10,76.5
E028,37.1,1.9,13,24,64.4
E029,70.8,8.2,10,10,56.9
E030,62.6,1.9,10,11,11.5
E031,77.4,2.9,27,10,20.0
E032,82.2,4.2,19,17,31.1
E033,94.9,9.5,16,9,40.4
E034,50.3,1.6,2,24,17.7
E035,75.1,4.7,28,18,76.3
E036,51.1,0.1,5,23,34.1
E037,100.0,18.0,26,14,27.1
E038,89.0,11.0,26,17,44.3
E039,60.2,3.4,13,10,77.5
E040,100.0,18.6,28,10,20.1
E041,95.2,10.8,24,6,77.1
E042,50.7,0.8,14,20,5.5
E043,64.7,10.5,11,24,64.9
E044,94.0,12.8,26,4,88.5
E045,91.6,16.0,2,12,18.4
E046,100.0,16.7,15,10,59.1
E047,62.2,5.1,15,9,20.5
E048,84.5,19.4,10,12,75.4
E049,94.7,9.3,22,6,48.6
E050,66.1,5.3,13,22,74.8
E051,92.9,11.0,24,4,19.4
E052,59.6,7.5,8,17,39.8
E053,73.7,4.1,25,7,38.0
E054,84.7,18.3,1,14,42.5
E055,100.0,18.8,30,18,22.2
E056,90.2,16.7,26,12,89.2
E057,82.5,8.7,24,8,88.6
E058,98.2,14.3,27,20,79.0
E059,82.8,17.0,15,16,86.2
E060,44.7,1.6,1,21,56.1
E061,100.0,8.2,26,9,71.7
E062,75.8,12.8,8,18,32.2
E063,100.0,19.5,19,4,15.2
E064,100.0,14.1,28,9,37.4
E065,100.0,12.7,28,7,73.7
E066,87.7,4.1,27,22,10.3
E067,44.2,5.9,2,18,39.2
E068,61.2,3.2,8,4,47.4
E069,85.8,6.1,27,5,36.9
E070,100.0,14.4,20,17,38.1
E071,100.0,19.2,25,10,78.5
E072,73.6,0.3,18,4,16.9
E073,41.6,6.3,2,8,47.5
E074,53.8,1.0,17,16,75.4
E075,100.0,17.5,20,3,17.9
E076,88.9,13.9,11,8,55.6
E077,90.6,16.5,1,21,57.7
E078,100.0,18.4,26,16,79.1
E079,65.8,3.1,15,5,34.9
E080,82.0,9.4,15,9,34.1
E081,77.9,10.9,3,21,23.1
E082,87.2,10.3,29,11,80.0
E083,84.1,14.4,3,10,9.0
E084,100.0,16.5,24,4,86.5
E085,95.7,4.7,24,19,19.5
E086,51.2,2.1,6,16,26.4
E087,100.0,12.3,28,5,51.8
E088,70.5,4.9,26,19,88.0
E089,100.0,16.5,28,13,24.1
E090,70.7,9.3,11,20,60.4
E091,84.0,13.8,1,14,70.0
E092,65.5,7.1,3,4,14.9
E093,71.1,2.1,25,14,72.5
E094,57.1,6.0,10,15,53.0
E095,65.8,3.3,20,20,25.8
E096,59.0,4.7,5,13,31.7
E097,90.5,10.9,7,12,24.6
E098,67.4,7.1,19,20,64.9
E099,100.0,14.9,30,18,13.2
E100,92.3,13.0,13,13,23.4
E101,100.0,15.4,11,12,68.5
E102,100.0,15.8,26,15,43.7
E103,97.7,10.5,26,12,43.5
E104,77.6,5.1,24,5,70.5
E105,100.0,19.9,2,20,42.1
E106,45.8,2.1,12,13,65.4
E107,98.8,8.3,27,8,64.3
E108,81.1,3.1,29,4,31.9
E109,100.0,10.1,29,15,39.5
E110,100.0,16.1,21,5,7.0
E111,100.0,9.5,30,18,21.6
E112,100.0,8.7,23,9,52.8
E113,61.3,6.6,9,12,71.6
E114,56.6,1.5,16,9,41.2
E115,100.0,14.5,27,6,25.4
E116,96.0,15.0,12,24,76.3
E117,82.2,12.3,5,17,45.6
E118,95.7,18.0,5,8,46.2
E119,53.3,2.7,20,21,85.3
E120,65.3,4.0,11,18,33.5
E121,83.4,17.0,4,4,83.8
E122,100.0,13.2,19,14,19.2
E123,100.0,10.3,28,6,5.6
E124,80.9,15.5,13,7,80.1
E125,98.3,15.5,20,14,87.6
E126,80.5,11.1,5,7,81.4
E127,76.9,13.8,11,5,26.1
E128,86.5,5.0,28,5,33.4
E129,70.8,14.1,0,23,65.4
E130,76.3,8.0,13,12,75.7
E131,90.8,12.4,3,20,10.7
E132,89.0,12.0,10,15,45.9
E133,78.4,12.2,14,5,87.5
E134,100.0,14.1,23,9,71.6
E135,75.7,1.5,24,23,17.8
E136,78.9,4.2,23,4,72.3
E137,61.9,6.0,26,9,78.2
E138,99.0,19.3,20,5,81.4
E139,99.6,13.2,9,21,16.2
E140,85.5,3.5,27,10,53.9
E141,100.0,13.6,8,19,19.8
E142,97.6,16.8,25,16,53.3
E143,100.0,18.0,8,7,46.5
E144,56.1,4.2,11,22,17.0
E145,100.0,19.0,7,9,21.6
E146,74.8,4.6,23,18,64.5
E147,74.1,3.1,23,4,5.2
E148,69.7,12.6,7,15,52.8
E149,51.8,0.7,8,16,53.2
E150,100.0,15.9,28,22,9.7
E151,73.1,2.9,12,22,23.1
E152,45.8,1.7,0,12,17.4
E153,100.0,16.4,20,12,17.8
E154,100.0,19.3,18,3,20.3
E155,100.0,15.2,16,4,61.8
E156,100.0,16.4,30,15,79.3
E157,92.7,18.7,13,10,53.3
E158,83.9,8.3,13,23,15.4
E159,91.8,6.4,27,8,26.4
E160,100.0,14.1,22,10,38.6
E161,100.0,12.6,25,15,67.4
E162,100.0,13.7,23,17,8.5
E163,100.0,14.3,30,13,77.8
E164,89.4,14.3,1,21,40.4
E165,49.2,4.4,11,7,87.9
E166,72.5,1.7,27,17,41.7
E167,58.7,10.0,2,5,69.3
E168,100.0,18.8,12,24,18.4
E169,99.7,14.7,8,20,16.5
E170,71.8,3.3,17,14,51.5
E171,69.3,1.3,30,16,69.4
E172,78.4,11.7,2,21,17.6
E173,92.5,11.7,15,5,18.4
E174,92.1,13.5,6,10,24.5
E175,56.3,4.8,1,9,7.9
E176,76.4,9.0,2,22,30.9
E177,100.0,14.0,29,16,58.2
E178,47.8,3.2,24,6,80.1
E179,37.7,3.7,4,3,78.2
E180,76.3,8.8,17,22,28.6
E181,67.9,5.0,11,10,14.2
E182,99.2,18.4,11,3,73.2
E183,56.1,3.8,13,6,48.8
E184,62.1,8.0,7,8,33.4
E185,100.0,16.3,26,24,48.9
E186,74.6,0.8,23,8,13.0
E187,100.0,13.4,19,14,62.3
E188,76.8,0.3,29,11,85.8
E189,99.5,18.6,19,17,57.9
E190,84.2,2.3,30,7,56.2
E191,73.2,3.0,19,10,11.1
E192,70.7,12.2,6,15,68.4
E193,87.1,16.9,13,12,87.4
E194,85.2,8.7,14,21,9.8
E195,58.9,9.3,10,5,54.2
E196,100.0,16.7,27,12,22.9
E197,98.4,10.2,25,24,14.5
E198,59.9,9.2,0,24,76.4
E199,58.0,5.9,12,18,85.0
E200,69.2,7.2,4,5,6.5
E201,62.7,6.6,10,8,8.3
E202,68.7,11.4,2,7,63.8
E203,92.3,15.6,14,24,30.6
E204,94.6,14.4,23,15,25.6
E205,88.7,13.6,18,3,88.8
E206,100.0,18.6,28,17,89.5
E207,100.0,17.3,26,17,80.9
E208,100.0,18.5,20,23,72.8
E209,85.0,0.8,30,10,54.9
E210,82.7,7.9,7,10,23.9
E211,83.4,11.7,4,8,19.6
E212,95.1,9.2,24,18,26.4
E213,81.5,13.6,13,17,59.0
E214,100.0,19.7,28,3,57.6
E215,61.3,3.1,17,11,30.7
E216,80.0,6.7,11,16,15.5
E217,94.0,19.1,5,11,17.1
E218,88.6,8.5,22,16,47.8
E219,67.8,8.3,3,16,83.3
E220,100.0,17.4,20,8,33.7
E221,75.2,0.8,25,23,33.2
E222,81.5,2.4,30,8,16.8
E223,41.4,2.5,2,18,70.2
E224,100.0,19.8,21,7,37.5
E225,71.0,1.8,26,5,50.0
E226,61.9,8.0,7,6,66.6
E227,100.0,17.8,14,5,14.4
E228,81.6,7.7,19,15,63.6
E229,56.3,0.5,21,5,18.1
E230,83.9,8.4,12,21,5.9
E231,60.2,1.7,8,12,45.1
E232,72.1,11.8,5,16,11.8
E233,97.7,9.4,24,22,24.3
E234,67.7,7.1,5,21,68.7
E235,100.0,17.0,25,6,74.3
E236,100.0,18.2,20,19,36.5
E237,89.2,9.9,29,19,86.4
E238,100.0,9.0,30,9,32.2
E239,100.0,18.4,9,12,14.5
E240,100.0,17.6,13,24,53.2
E241,100.0,16.9,27,16,14.8
E242,91.7,12.9,29,8,75.2
E243,82.8,10.6,16,10,9.1
E244,100.0,19.3,24,21,11.2
E245,74.8,5.8,9,12,15.9
E246,81.4,6.1,27,16,77.1
E247,71.4,2.0,21,4,7.3
E248,91.1,8.1,28,3,36.0
E249,85.3,10.4,24,8,84.5
E250,92.8,2.1,28,18,22.2
