store_id,quarterly_sales,tv_spend,online_spend,store_size_sqft,promo_weeks
S001,309.6,21.9,20.0,1722,4
S002,401.3,47.8,4.4,7318,1
S003,343.3,37.9,6.5,4537,11
S004,454.2,31.9,27.2,6785,9
S005,294.0,12.0,19.0,3240,12
S006,256.2,12.0,2.3,7269,5
S007,185.0,7.6,4.8,3724,4
S008,366.4,44.0,20.6,1076,5
S009,305.0,32.1,2.1,7338,0
S010,304.8,36.9,6.5,1639,4
S011,207.5,5.9,17.4,3235,8
S012,507.3,48.6,21.4,7650,11
S013,455.9,42.5,20.3,7654,9
S014,262.0,14.6,8.3,5014,1
S015,299.1,13.2,21.9,5423,0
S016,290.4,13.3,8.6,4139,9
S017,272.1,18.7,11.1,3052,12
S018,324.1,28.6,22.9,3301,10
S019,398.1,24.4,20.2,5708,8
S020,368.4,18.1,25.8,6267,9
S021,371.8,32.5,20.4,6541,8
S022,324.1,11.3,17.9,6527,8
S023,201.7,18.1,4.6,1638,5
S024,322.0,21.5,12.3,4461,7
S025,298.5,25.5,9.4,1403,10
S026,376.8,40.3,8.8,4847,12
S027,308.0,14.0,29.2,4091,0
S028,376.8,28.1,13.0,7214,9
S029,389.0,31.7,27.0,3456,3
S030,243.2,7.1,19.7,1819,0
S031,350.2,32.3,24.3,2001,7
S032,273.9,12.7,16.1,6331,0
S033,287.0,7.9,18.2,5328,2
S034,429.9,47.7,15.8,1708,12
S035,343.9,48.5,7.5,1589,3
S036,442.0,41.4,22.2,5907,7
S037,223.2,18.7,9.9,1509,5
S038,254.9,9.4,2.7,6753,9
S039,398.8,35.8,20.1,5944,11
S040,226.0,24.8,7.0,1569,6
S041,349.6,10.5,28.3,1594,7
S042,433.8,27.3,28.7,7906,1
S043,330.5,6.5,27.6,3620,12
S044,405.8,45.9,12.4,3594,9
S045,304.4,16.6,2.4,6690,10
S046,456.6,34.8,28.0,7631,7
S047,311.7,19.0,14.0,7902,2
S048,416.6,28.4,29.1,6274,6
S049,410.2,29.6,29.0,3634,2
S050,329.2,13.3,25.9,1585,6
S051,456.4,48.6,10.2,6440,10
S052,415.3,39.9,12.8,4909,11
S053,435.8,47.3,25.8,3970,12
S054,394.2,45.3,10.9,7344,1
S055,258.5,31.9,6.7,1778,9
S056,395.2,46.5,17.6,4448,5
S057,283.6,9.0,28.2,1079,2
S058,320.6,13.8,21.5,4281,2
S059,225.3,7.0,18.0,1394,8
S060,161.8,19.6,4.7,1832,6
S061,301.4,22.5,19.2,1823,4
S062,472.5,17.2,29.7,5544,11
S063,365.3,42.3,5.9,6222,9
S064,326.3,21.1,16.5,5084,6
S065,450.1,17.6,26.6,7735,8
S066,359.5,29.4,22.7,3624,0
S067,297.6,11.3,21.5,3000,6
S068,453.0,41.1,21.7,7080,5
S069,245.9,8.4,12.1,2565,9
S070,415.6,49.4,10.2,7743,11
S071,359.7,39.8,24.7,1085,8
S072,397.8,13.9,24.7,7789,0
S073,304.4,5.2,26.3,1302,12
S074,471.0,41.7,27.6,7238,3
S075,380.6,36.8,16.3,4694,8
S076,423.0,37.8,16.0,7951,3
S077,464.2,39.7,24.4,1517,9
S078,294.0,8.3,20.2,4877,2
S079,378.1,21.1,21.7,7785,8
