transaction_id,store_region,product_category,units_sold,unit_price,total_revenue,discount_pct,customer_age,customer_gender,day_of_week,month,sales_rep_experience_years
T001,North,Electronics,2,149.99,299.98,0,34,Female,Monday,January,3
T002,South,Clothing,5,29.99,149.95,10,27,Male,Tuesday,January,1
T003,East,Groceries,12,4.99,59.88,0,52,Female,Wednesday,January,7
T004,West,Electronics,1,399.99,399.99,5,45,Male,Thursday,January,12
T005,North,Home,3,54.99,164.97,0,61,Female,Friday,January,5
T006,South,Electronics,1,249.99,249.99,0,38,Male,Saturday,February,2
T007,East,Clothing,4,34.99,139.96,15,23,Female,Sunday,February,1
T008,West,Groceries,8,6.49,51.92,0,41,Male,Monday,February,9
T009,North,Home,2,89.99,179.98,10,55,Female,Tuesday,February,6
T010,South,Electronics,3,199.99,599.97,0,29,Male,Wednesday,February,4
T011,East,Groceries,15,3.99,59.85,0,67,Female,Thursday,February,11
T012,West,Clothing,2,49.99,99.98,0,33,Male,Friday,February,3
T013,North,Electronics,1,599.99,599.99,0,48,Female,Saturday,March,8
T014,South,Home,4,39.99,159.96,5,36,Male,Sunday,March,2
T015,East,Electronics,2,299.99,599.98,10,42,Female,Monday,March,5
T016,West,Groceries,20,2.99,59.80,0,58,Male,Tuesday,March,14
T017,North,Clothing,6,24.99,149.94,20,25,Female,Wednesday,March,1
T018,South,Electronics,1,449.99,449.99,0,53,Male,Thursday,March,10
T019,East,Home,3,69.99,209.97,0,39,Female,Friday,March,7
T020,West,Electronics,2,179.99,359.98,5,31,Male,Saturday,March,3
T021,North,Groceries,10,5.49,54.90,0,44,Female,Sunday,April,6
T022,South,Clothing,3,39.99,119.97,0,28,Male,Monday,April,2
T023,East,Electronics,1,349.99,349.99,0,50,Female,Tuesday,April,9
T024,West,Home,5,44.99,224.95,10,63,Male,Wednesday,April,13
T025,North,Electronics,2,229.99,459.98,0,37,Female,Thursday,April,4
T026,South,Groceries,18,3.49,62.82,0,71,Male,Friday,April,16
T027,East,Clothing,7,19.99,139.93,25,22,Female,Saturday,April,1
T028,West,Electronics,1,499.99,499.99,0,46,Male,Sunday,April,11
T029,North,Home,2,79.99,159.98,0,57,Female,Monday,May,5
