store_id,region,store_size,week,period,campaign_active,weekly_revenue_k
1,South,Large,1,Pre,0,43.33
1,South,Large,2,Pre,0,42.65
1,South,Large,3,Pre,0,41.13
1,South,Large,4,Pre,0,38.96
1,South,Large,5,Pre,0,37.09
1,South,Large,6,Pre,0,40.08
1,South,Large,7,Pre,0,43.73
1,South,Large,8,Pre,0,41.93
1,South,Large,9,Post,1,44.82
1,South,Large,10,Post,1,43.82
1,South,Large,11,Post,1,46.18
1,South,Large,12,Post,1,45.46
1,South,Large,13,Post,1,49.54
1,South,Large,14,Post,1,43.24
1,South,Large,15,Post,1,46.15
1,South,Large,16,Post,1,47.89
2,West,Large,1,Pre,0,55.16
2,West,Large,2,Pre,0,56.74
2,West,Large,3,Pre,0,56.23
2,West,Large,4,Pre,0,55.38
2,West,Large,5,Pre,0,52.68
2,West,Large,6,Pre,0,55.68
2,West,Large,7,Pre,0,51.39
2,West,Large,8,Pre,0,52.9
2,West,Large,9,Post,1,57.71
2,West,Large,10,Post,1,55.61
2,West,Large,11,Post,1,54.37
2,West,Large,12,Post,1,60.54
2,West,Large,13,Post,1,55.12
2,West,Large,14,Post,1,59.1
2,West,Large,15,Post,1,57.79
2,West,Large,16,Post,1,56.29
3,East,Small,1,Pre,0,26.21
3,East,Small,2,Pre,0,18.76
3,East,Small,3,Pre,0,24.95
3,East,Small,4,Pre,0,22.58
3,East,Small,5,Pre,0,26.82
3,East,Small,6,Pre,0,22.21
3,East,Small,7,Pre,0,24.11
3,East,Small,8,Pre,0,25.85
3,East,Small,9,Post,1,23.91
3,East,Small,10,Post,1,24.5
3,East,Small,11,Post,1,30.39
3,East,Small,12,Post,1,23.19
3,East,Small,13,Post,1,33.28
3,East,Small,14,Post,1,23.22
3,East,Small,15,Post,1,29.2
3,East,Small,16,Post,1,26.63
4,East,Small,1,Pre,0,17.73
4,East,Small,2,Pre,0,20.16
4,East,Small,3,Pre,0,11.25
4,East,Small,4,Pre,0,17.46
4,East,Small,5,Pre,0,19.62
4,East,Small,6,Pre,0,16.83
4,East,Small,7,Pre,0,24.89
4,East,Small,8,Pre,0,16.32
4,East,Small,9,Post,1,21.96
4,East,Small,10,Post,1,19.83
4,East,Small,11,Post,1,23.55
4,East,Small,12,Post,1,22.24
4,East,Small,13,Post,1,20.68
4,East,Small,14,Post,1,21.13
4,East,Small,15,Post,1,24.11
4,East,Small,16,Post,1,20.56
5,North,Small,1,Pre,0,18.93
5,North,Small,2,Pre,0,23.97
5,North,Small,3,Pre,0,26.05
5,North,Small,4,Pre,0,25.19
5,North,Small,5,Pre,0,22.66
5,North,Small,6,Pre,0,23.82
5,North,Small,7,Pre,0,23.02
5,North,Small,8,Pre,0,22.75
5,North,Small,9,Post,1,28.22
5,North,Small,10,Post,1,27.89
5,North,Small,11,Post,1,28.84
5,North,Small,12,Post,1,24.63
5,North,Small,13,Post,1,27.62
5,North,Small,14,Post,1,26.87
5,North,Small,15,Post,1,29.92
5,North,Small,16,Post,1,27.02
6,North,Medium,1,Pre,0,26.78
6,North,Medium,2,Pre,0,30.47
